##['TANGGAL', 'JAM', 'SEQUENCE', 'EMITEN', 'OPEN_PRICE', 'HIGH_PRICE', 'LOW_PRICE', 'CLOSE_PRICE', 'VOLUME', 'VALUE', 'FREQUENCY']
['20200226', '030042', '00002134', 'GREN', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002135', 'GSMF', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002136', 'GTBO', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002137', 'GWSA', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002138', 'GZCO', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002139', 'HADE', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002140', 'HDFA', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002141', 'HDTX', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002142', 'HERO', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002143', 'HEXA', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002144', 'HITS', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002145', 'HMSP', '00000003000.00', '00000003000.00', '00000003000.00', '00000003000.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002146', 'HOKI', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002147', 'HOKI-W', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002148', 'HOME', '00000000078.00', '00000000078.00', '00000000078.00', '00000000078.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002149', 'HOTL', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002150', 'HRTA', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002151', 'HRUM', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002152', 'IATA', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002153', 'IBFN', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002154', 'IBST', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002155', 'ICBP', '00000012100.00', '00000012100.00', '00000012100.00', '00000012100.00', '000000000000', '0000000000000000', '0000000']
